date,TLT,XLP,IWM,XLY,RINF,PDBC,VXUS,VTI,SMH,XSW,IGV,IEF,HYG,LQD,KRE,USO,GLD,XAR,SPY
2024-01-26,83.9910888671875,67.91016387939453,190.75355529785156,84.06524658203125,29.404699325561523,12.570517539978027,53.22068786621094,234.6178741455078,186.85781860351562,149.47145080566406,84.64613342285156,86.25688171386719,66.64826202392578,97.18547058105469,48.7382698059082,73.0999984741211,187.00999450683594,128.08489990234375,473.1369934082031
2024-01-29,84.95836639404297,68.3028793334961,194.09207153320312,85.29430389404297,29.341365814208984,12.469217300415039,53.47199249267578,236.74972534179688,189.0512237548828,152.9558868408203,86.32781982421875,86.77462005615234,66.79419708251953,97.58634185791016,49.55166244506836,72.05000305175781,188.3300018310547,129.2208251953125,476.8839111328125
2024-01-30,85.72859191894531,68.68622589111328,192.43740844726562,85.24533081054688,29.060890197753906,12.552099227905273,53.3044548034668,236.4202423095703,187.17539978027344,151.26856994628906,85.93988800048828,86.89273071289062,66.70836639404297,97.89817810058594,49.355323791503906,72.80999755859375,188.58999633789062,128.27256774902344,476.51513671875
2024-01-31,86.57048797607422,68.18132781982422,187.73623657226562,83.69312286376953,29.069934844970703,12.450798034667969,53.025230407714844,232.4375762939453,184.47579956054688,147.6044158935547,84.06023406982422,87.61939239501953,66.51947784423828,98.14762115478516,46.466373443603516,70.91999816894531,188.4499969482422,127.67990112304688,468.7396240234375
2024-02-01,88.26863861083984,69.57450866699219,190.22796630859375,85.30410766601562,28.825651168823242,12.266613960266113,53.51853942871094,235.56752014160156,186.16305541992188,149.41152954101562,85.23201751708984,88.162109375,66.90254974365234,98.90666961669922,45.01722717285156,69.06999969482422,190.41000366210938,128.63804626464844,474.8746337890625
2024-02-02,86.31890106201172,69.35009765625,189.22540283203125,86.82695770263672,28.834705352783203,12.137686729431152,53.14622497558594,237.58303833007812,189.7856903076172,149.89077758789062,85.85990142822266,87.01473999023438,66.60057830810547,98.00366973876953,45.222904205322266,67.51000213623047,188.61000061035156,128.47015380859375,479.873779296875
2024-02-05,84.5758285522461,68.91999053955078,186.8212890625,85.60279846191406,29.1513671875,12.183732032775879,52.913536071777344,236.4590301513672,193.48770141601562,147.7541961669922,85.31600189208984,86.16792297363281,66.28997039794922,97.06494903564453,44.47494888305664,68.18000030517578,187.57000732421875,127.53174591064453,478.1264953613281
2024-02-06,85.4024429321289,69.07894134521484,188.50515747070312,86.1218490600586,29.01565170288086,12.220569610595703,53.47199249267578,237.26329040527344,191.29428100585938,149.12200927734375,85.17002868652344,86.63232421875,66.53157043457031,97.61030578613281,43.91399383544922,68.80999755859375,188.5500030517578,129.4183807373047,479.5146484375
2024-02-07,84.9891357421875,69.01348876953125,188.067138671875,87.08647155761719,28.952316284179688,12.257406234741211,53.48129653930664,239.1334228515625,195.1551055908203,149.35162353515625,86.53176879882812,86.4775390625,66.64371490478516,97.32422637939453,43.801795959472656,69.41999816894531,188.5,129.32948303222656,483.513916015625
2024-02-08,84.49495697021484,68.99478149414062,190.91900634765625,87.4684066772461,29.133272171020508,12.349496841430664,53.34169387817383,239.7245635986328,197.93408203125,152.46665954589844,87.42161560058594,86.19525909423828,66.60921478271484,96.82354736328125,43.97943878173828,71.5199966430664,188.3300018310547,129.70481872558594,483.7275085449219
2024-02-09,84.32423400878906,68.35897827148438,194.02394104003906,88.09028625488281,29.03374671936035,12.377124786376953,53.565067291259766,241.18777465820312,202.32093811035156,155.921142578125,88.38542938232422,86.0404281616211,66.74727630615234,96.69840240478516,44.75543975830078,71.66999816894531,187.60000610351562,131.1272430419922,486.5231628417969
2024-02-12,84.42304229736328,68.84518432617188,197.54737854003906,88.01683807373047,28.97041130065918,12.386334419250488,53.723297119140625,241.42034912109375,201.536865234375,155.48184204101562,87.46560668945312,86.12239837646484,66.60057830810547,96.70734405517578,45.71842956542969,72.11000061035156,187.11000061035156,132.134765625,486.3096008300781
2024-02-13,82.97647094726562,68.10652160644531,189.4200897216797,86.26384735107422,29.241840362548828,12.331079483032227,52.773929595947266,237.55397033691406,197.80506896972656,149.8308868408203,85.51795959472656,85.17539978027344,66.06564331054688,95.64344787597656,43.78310012817383,72.6500015258789,184.52999877929688,130.1592254638672,479.6116943359375
2024-02-14,83.39875030517578,67.97561645507812,193.81956481933594,87.17462921142578,29.35041618347168,12.17452335357666,53.425453186035156,240.1800079345703,201.7750701904297,154.44351196289062,87.2116470336914,85.49409484863281,66.32447814941406,96.09044647216797,44.596500396728516,71.55000305175781,184.4199981689453,133.833740234375,483.9701843261719
2024-02-15,83.8300552368164,68.41507720947266,198.98794555664062,88.1833267211914,29.196603775024414,12.220569610595703,53.94667053222656,242.0308380126953,201.10015869140625,156.9495086669922,87.08367156982422,85.73085021972656,66.55744934082031,96.43911743164062,46.01759719848633,72.83999633789062,185.66000366210938,134.79190063476562,487.3094482421875
2024-02-16,83.3448715209961,68.5179443359375,196.2821044921875,87.65937805175781,29.32326889038086,12.257406234741211,54.05836868286133,240.7613983154297,200.23667907714844,154.30374145507812,85.5379638671875,85.35751342773438,66.35900115966797,96.09044647216797,45.5407829284668,73.41000366210938,186.33999633789062,133.80413818359375,484.8827209472656
2024-02-20,83.41670989990234,69.2378921508789,193.5762176513672,86.83185577392578,29.29612922668457,12.192940711975098,54.22590637207031,239.24978637695312,196.2964630126953,151.75778198242188,84.48016357421875,85.50318908691406,66.4970474243164,96.41230010986328,45.185508728027344,72.41999816894531,187.47000122070312,132.9250030517578,482.2132568359375
2024-02-21,82.82373809814453,69.49034118652344,192.6612548828125,87.47331237792969,29.486127853393555,12.257406234741211,54.28175354003906,239.29818725585938,195.03599548339844,147.79412841796875,82.11260223388672,85.23002624511719,66.37625122070312,96.1709213256836,44.88632583618164,73.19999694824219,187.47999572753906,133.06329345703125,482.6500549316406
