ticker,n_obs_total,inflation_n_obs,inflation_corr,inflation_beta,inflation_r2,inflation_signed_score,inflation_score,growth_n_obs,growth_corr,growth_beta,growth_r2,growth_signed_score,growth_score,liquidity_n_obs,liquidity_corr,liquidity_beta,liquidity_r2,liquidity_signed_score,liquidity_score,primary_macro_dimension
KMB,604,604,-0.11524712037211085,-0.11016953717327356,0.013281898754063808,-54.45163863101331,21.266475513244448,604,-0.00024901985131746835,-0.00015566154554482803,6.201088635017404e-08,-58.543107229187655,19.74881383398282,604,0.21645583537225396,0.1581425836051273,0.04685312866670031,-40.36584470377005,29.830166296586548,growth
KMI,604,604,0.2103766712406764,0.21404591622923907,0.04425834380230764,43.199162329402505,77.9109647552599,604,0.20664922410187456,0.13748618864892193,0.042703901821906774,-40.84664223579947,28.86174770840852,604,0.17275087145848655,0.13433145019928897,0.029842863589666545,-44.921973467206946,27.124203261399376,liquidity
KMTUY,604,604,0.0524769857494715,0.08067194269649113,0.002753834033350235,10.021879686416693,58.665754155177666,604,0.44121356457611105,0.4435253184011621,0.19466940956595813,6.294326612015738,53.13736049587809,604,0.3611671047979252,0.4243360319740034,0.13044167758811548,17.386880413959126,64.1305005198042,liquidity
KNG,604,604,-0.02221866484612348,-0.011923386434572518,0.0004936690675443633,-27.259134751095804,37.04008390498551,604,0.4734196210233503,0.1661283843694119,0.2241261375698926,-29.858884692754174,34.519979900849506,604,0.4459871068978773,0.1829161511294006,0.19890449951913863,-28.893096761219798,36.64402812018043,growth
KO,604,604,-0.08858689112029425,-0.06689063614478237,0.007847637278358868,-44.43916552783464,27.07443017824383,604,-0.0842467572355038,-0.04159728495022301,0.0070975161046979126,-63.959218513824645,16.95974471696603,604,0.14855621718028444,0.08573038746466599,0.022068949662915838,-50.4460350441927,23.843368322892214,growth
KOPN,604,604,0.07427835189576336,0.3423257080832913,0.005517273560350852,53.56799628460569,83.9256343498886,604,0.49350245666530645,1.4872449453238443,0.24354467473469268,78.14560185630161,90.13773996934792,604,0.2914719013693346,1.0266491201280035,0.08495586928785512,70.11156945797963,95.44459786046721,growth
KR,604,604,0.10256917421778396,0.12132065384547047,0.010520435499718117,21.95500046270181,65.5878226358034,604,-0.15995272081122477,-0.12371587796665602,0.02558487289491362,-68.12215475220239,14.816007949314363,604,-0.07283772209256249,-0.06584492807275145,0.005305333759633366,-64.79799752191694,15.319491592547257,growth
KRKNF,604,604,0.09312189435984633,0.2994902622722077,0.00867168720916638,50.100536143864474,81.91425803031338,604,0.3444827747422279,0.7244598824877255,0.11866838209410452,37.850547909628766,69.38748492012522,604,0.1939089027546332,0.47662491622931247,0.0376006625675058,21.575171384771945,66.61799837951754,inflation
KRRO,604,604,0.002902582801155922,0.014074228656705455,8.424986917566158e-06,-19.226451930001872,41.699617786621786,604,0.2945862180700028,0.934046153477919,0.08678103987678724,50.54861287054534,75.92645337315972,604,0.15620438052202293,0.578870319979152,0.024399808494268937,35.25022210133959,74.73984560216451,growth
KSA,604,604,0.0719187325254626,0.051492116880241544,0.005172304088069033,-1.2659131446775957,52.118022305582215,604,0.444837405601207,0.20826483522959727,0.19788031742201273,-26.044447417714366,36.48425438553161,604,0.3401448520077308,0.1861275723697055,0.1156985203473611,-31.63461271941197,35.01579476058422,liquidity
KSCP,604,604,0.06474442194408647,0.360832368658694,0.004191840172873906,54.609970111958376,84.53005412600355,604,0.2748977530826962,1.0018212698573377,0.07556877464991502,54.12406686053988,77.76766153501835,604,0.1625551919045322,0.6923920388712215,0.026424190415119286,48.26615129337821,82.47022924384666,inflation
KSPI,592,592,0.03686382379710153,0.06618128461114996,0.001358941504943749,4.24790579057051,55.31643393445036,592,0.38017488274539535,0.44806190985864536,0.1445329414704751,4.570671160639099,52.24975056041599,592,0.2318821517835831,0.31906174077623506,0.05376933231578467,-10.524336327786235,47.55355006652354,liquidity
KTOS,604,604,0.1090298501933859,0.3039931519904545,0.011887508233192172,51.345145285869044,82.63622086586012,604,0.3915054686141062,0.7137927692777635,0.15327653195475088,38.39581309461542,69.66827351698151,604,0.2528606779852958,0.5388250429316741,0.06393852247118346,32.3051501845118,72.99071686663416,inflation
KTWIY,40,40,0.006771086681069148,1.3356242364565416,4.584761484255201e-05,65.23698803383742,90.69448899422954,40,-0.06337215455913582,-8.80307754530305,0.004016029973466999,-67.08045927200362,15.352437232331411,40,-0.12023382449127601,-18.09761322118376,0.014456172551798962,-69.07061771962853,12.781909158270254,liquidity
KVUE,604,604,-0.05089305578982712,-0.06150123868327156,0.0025901031276264557,-41.19395536534237,28.956885522485077,604,0.06393740322810647,0.050523828806237826,0.004087991531553479,-52.444730569555965,22.889220873542897,604,0.18631677613144618,0.17207801385779492,0.03471394106801543,-39.35721971370627,30.429205981632624,growth
