ticker,cash,totalDebt,netCash,currentRatio,quickRatio,debtToEquity,freeCashFlow,sharesOutCurrent,sharesOut1Y,sharesOut3Y,shareCountGrowth1Y,shareCountGrowth3Y,stockBasedComp,revenue,sbcToRevenue,balanceSheetRiskScore,dilutionRiskScore
WVE,544590976.0,15715000.0,528875976.0,11.264,10.929,3.071,-125723128.0,192379977.0,153037286.0,86924643.0,0.25707912122801235,1.213181099863706,24973000.0,42727000.0,0.5844781987970136,72.0,90.0
XAIX,,,,,,,,,,,,,,,,,
XBI,,,,,,,,,,,,,,,,,
XDAT,,,,,,,,,,,,,,,,,
XENE,548886016.0,7944000.0,540942016.0,13.415,13.167,1.366,-175082752.0,96642822.0,76416086.0,62587701.0,0.2646921225460304,0.5441184203267029,53707000.0,7500000.0,7.160933333333333,78.0,90.0
XIACF,107696586752.0,41837895680.0,65858691072.0,1.324,0.77,15.709,16177907712.0,21372475902.0,25099151810.0,24931045000.0,-0.14847816118292964,-0.14273645962293197,5365075000.0,457286687000.0,0.011732410219937149,70.0,10.0
XLB,,,,,,,,71923696.0,,,,,,,,,
XLE,,,,,,,,186424000.0,,,,,,,,,
XLF,,,,,,,,883444992.0,,,,,,,,,
XLU,,,,,,,,163274000.0,,,,,,,,,
XLV,,,,,,,,197415008.0,,,,,,,,,
XMTR,219140992.0,339422016.0,-120281024.0,3.763,3.559,122.651,-12945000.0,51123487.0,49764585.0,47498418.0,0.0273066077010388,0.07631978395575195,36362000.0,686631000.0,0.05295711961737819,60.0,38.3
XOM,8434999808.0,47660998656.0,-39225998848.0,1.036,0.744,18.261,11630499840.0,4144947162.0,4353094536.0,4082000000.0,-0.047815955357418866,0.0154206668299853,,323905000000.0,,52.0,10.0
XOP,,,,,,,,70500000.0,,,,,,,,,
XPEV,35071655936.0,19553677312.0,15517978624.0,1.088,0.702,64.388,4206453760.0,781396561.0,1898112757.0,1723918480.0,-0.5883297458919086,-0.5467323019821679,564327000.0,76719742000.0,0.007355694705021297,64.0,5.0
XPON,2969096.0,906969.0,2062127.0,7.067,3.699,13.877,-6646076.0,11438298.0,2096082.0,68024.0,4.456989755171792,167.15091732329765,1163654.0,9651870.0,0.1205625438386551,72.0,90.0
XYL,808000000.0,2060999936.0,-1252999936.0,1.463,0.945,18.354,959124992.0,237693493.0,243000000.0,180200000.0,-0.021837477366255145,0.31905379023307434,53000000.0,9035000000.0,0.005866076369673492,58.0,33.3
XYZ,7192104960.0,8966376448.0,-1774271488.0,2.201,1.147,40.444,-1034290624.0,535666607.0,619676000.0,600059542.0,-0.13556986715638494,-0.10731090915641169,1215480000.0,24193683000.0,0.05023956046708556,56.0,18.3
YANG,,,,,,,,,,,,,,,,,
YCL,,,,,,,,,,,,,,,,,
YMAX,,,,,,,,,,,,,,,,,
DBC,,,,,,,,111400000.0,,,,,,,,,
UUP,,,,,,,,,,,,,,,,,
HYG,,,,,,,,195600000.0,,,,,,,,,
SHY,,,,,,,,209300000.0,,,,,,,,,
XLY,,,,,,,,120253000.0,,,,,,,,,
XLE,,,,,,,,186424000.0,,,,,,,,,
XLU,,,,,,,,163274000.0,,,,,,,,,
YPF,1733272010752.0,16175699329024.0,-14442427318272.0,0.87,0.514,100.978,-3300128980992.0,392358852.0,393312793.0,393312793.0,-0.002425400386099315,-0.002425400386099315,15000000.0,18284000000.0,0.0008203894115073288,32.0,5.0
Z,1303000064.0,457000000.0,846000064.0,3.125,2.138,9.357,84750000.0,180430322.0,242488720.0,234267710.0,-0.2559228239565123,-0.22981138971307655,390000000.0,2583000000.0,0.15098722415795587,85.0,33.3
ZBRA,125000000.0,2696999936.0,-2571999936.0,0.97,0.517,75.167,658499968.0,48362608.0,51506059.0,51451500.0,-0.06103070320328721,-0.06003502327434574,163000000.0,5396000000.0,0.03020756115641216,45.0,18.3
ZETA,288779008.0,218608992.0,70170016.0,2.066,1.943,24.833,254794000.0,225619195.0,237270250.0,207366219.0,-0.04910457590026562,0.08802290020053845,177821000.0,1304668000.0,0.1362959772141265,85.0,53.3
ZLAB,689572992.0,224259008.0,465313984.0,2.449,1.941,31.343,-92507872.0,112353746.0,1077702540.0,960219570.0,-0.895746978567945,-0.8829916099293831,65598000.0,460156000.0,0.14255600274689453,72.0,33.3
ZS,3512751104.0,1866436992.0,1646314112.0,1.901,1.746,84.995,1020966656.0,160790703.0,152490000.0,143038000.0,0.0544344088136927,0.12411179546693886,661350000.0,2673115000.0,0.24740798656249358,82.0,73.3
ZSPC,712000.0,17713000.0,-17001000.0,0.375,0.124,,-10409875.0,3039272.0,913975.0,902725.0,2.325333843923521,2.3667750422332383,7120000.0,27858000.0,0.25558187953191186,33.8,90.0
ZTS,2312000000.0,9313000448.0,-7001000448.0,3.028,1.746,279.586,1790875008.0,420517197.0,448473073.0,463808059.0,-0.06233568453283705,-0.09333788225529734,83000000.0,9467000000.0,0.008767296926164571,73.0,5.0
RYN,844348032.0,1061625984.0,-217277952.0,3.258,3.172,47.179,-113556128.0,302136630.0,148536643.0,147282631.0,1.034088181190415,1.0514070664585018,11004000.0,484485000.0,0.022712777485371063,60.0,66.7
WY,299000000.0,5448999936.0,-5149999936.0,1.418,0.663,57.729,-45875000.0,721042609.0,725845000.0,732794000.0,-0.006616276202219482,-0.0160364181475285,43000000.0,6905000000.0,0.006227371469949312,39.0,5.0
LPX,292000000.0,379000000.0,-87000000.0,2.78,1.44,21.895,26750000.0,69848440.0,70238241.0,71748200.0,-0.005549697635508839,-0.026478155549546887,30000000.0,2708000000.0,0.011078286558345642,69.0,10.0
WFG,81000000.0,538000000.0,-457000000.0,1.837,0.631,9.542,-380750016.0,76022344.0,79988266.0,83555414.0,-0.04958129733678687,-0.09015657561100708,,5462000000.0,,43.0,5.0
FND,293632000.0,2006609024.0,-1712977024.0,1.15,0.291,81.678,78788872.0,108094150.0,107356999.0,106150661.0,0.006866352514194254,0.01830877906638754,29505000.0,4684088000.0,0.006298984989180391,52.0,11.7
XNDU,16164000.0,38257000.0,-22093000.0,4.48,2.654,156.509,-49746124.0,43284436.0,297993838.0,,-0.8547472112493816,,4017000.0,4617000.0,0.8700454840805718,60.0,47.5
AMKR,1848499968.0,1617483008.0,231016960.0,2.01,1.698,35.4,-47146500.0,247872518.0,246684000.0,245091000.0,0.004817977655624199,0.011348919380964622,20099000.0,6707981000.0,0.002996281593522701,72.0,11.7
ONTO,639622016.0,17475000.0,622147016.0,5.792,4.15,0.832,237390000.0,49743567.0,49238000.0,48684000.0,0.010267821601202324,0.02176417303426177,27617000.0,1005263000.0,0.027472412692001992,91.0,23.3
